Location,Rooms,P2019,P2020,P2021
Guernsey (Livingroom),1,52,209,366
Guernsey (Livingroom),1,55,220,385
Guernsey (Livingroom),1,55,221,387
Guernsey (Livingroom),1,56,222,389
Guernsey (Livingroom),1,56,223,390
Guernsey (Livingroom),1,56,224,392
Guernsey (Livingroom),1,56,225,394
Guernsey (Livingroom),1,57,226,396
Guernsey (Livingroom),1,57,227,397
Guernsey (Livingroom),1,57,228,399
Guernsey (Livingroom),1,57,229,1000
Guernsey (Livingroom),1,58,230,2000
Guernsey (Livingroom),1,58,231,404
Guernsey (Livingroom),1,58,232,406
Guernsey (Livingroom),1,58,233,408
Guernsey (Livingroom),1,59,234,410
Guernsey (Livingroom),1,59,235,5
Guernsey (Livingroom),1,59,236,413
Guernsey (Swoffers),1,30,119,208
Guernsey (Swoffers),1,33,130,228
Guernsey (Swoffers),1,49,195,2000
Guernsey (Swoffers),1,49,195,341
Guernsey (Swoffers),1,49,195,3000
Guernsey (Swoffers),1,50,199,348
Guernsey (Swoffers),1,50,199,348
Guernsey (Swoffers),1,52,209,366
Guernsey (Swoffers),1,53,210,368
Guernsey (Swoffers),1,55,219,383
Guernsey (Swoffers),1,55,220,385
Guernsey (Swoffers),1,55,220,385
Guernsey (Swoffers),1,55,220,385
Guernsey (Swoffers),1,59,235,411
Guernsey (Swoffers),1,61,245,429
Guernsey (Swoffers),1,63,250,438
Guernsey (Swoffers),1,64,255,446
Guernsey (Swoffers),1,66,265,464
Guernsey (Swoffers),1,70,280,490
Guernsey (Swoffers),1,74,295,516
Guernsey (Swoffers),1,75,299,523
Guernsey (Swoffers),1,81,325,569
Guernsey (Swoffers),1,97,389,681
Guernsey (Swoffers),1,99,395,691
Guernsey (Swoffers),1,100,399,698
Guernsey (Swoffers),1,100,400,700
Guernsey (Swoffers),1,106,425,744
Guernsey (Swoffers),1,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,2,59,234,410
Guernsey Example,2,59,235,411
Guernsey Example,2,59,236,413
Guernsey Example,2,30,119,208
Guernsey Example,2,33,130,228
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,50,199,348
Guernsey Example,2,50,199,348
Guernsey Example,2,52,209,366
Guernsey Example,2,53,210,368
Guernsey Example,2,55,219,383
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,59,235,411
Guernsey Example,2,61,245,429
Guernsey Example,2,63,250,438
Guernsey Example,2,64,255,446
Guernsey Example,2,66,265,464
Guernsey Example,2,70,280,490
Guernsey Example,2,74,295,516
Guernsey Example,2,75,299,523
Guernsey Example,2,81,325,569
Guernsey Example,2,97,389,681
Guernsey Example,2,99,395,691
Guernsey Example,2,100,399,698
Guernsey Example,2,100,400,700
Guernsey Example,2,106,425,744
Guernsey Example,2,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,2,59,234,410
Guernsey Example,2,59,235,411
Guernsey Example,2,59,236,413
Guernsey Example,2,30,119,208
Guernsey Example,2,33,130,228
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,50,199,348
Guernsey Example,2,50,199,348
Guernsey Example,2,52,209,366
Guernsey Example,2,53,210,368
Guernsey Example,2,55,219,383
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,59,235,411
Guernsey Example,2,61,245,429
Guernsey Example,2,63,250,438
Guernsey Example,2,64,255,446
Guernsey Example,2,66,265,464
Guernsey Example,2,70,280,490
Guernsey Example,2,74,295,516
Guernsey Example,2,75,299,523
Guernsey Example,2,81,325,569
Guernsey Example,2,97,389,681
Guernsey Example,2,99,395,691
Guernsey Example,2,100,399,698
Guernsey Example,2,100,400,700
Guernsey Example,2,106,425,744
Guernsey Example,2,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,2,59,234,410
Guernsey Example,2,59,235,411
Guernsey Example,2,59,236,413
Guernsey Example,2,30,119,208
Guernsey Example,2,33,130,228
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,50,199,348
Guernsey Example,2,50,199,348
Guernsey Example,2,52,209,366
Guernsey Example,2,53,210,368
Guernsey Example,2,55,219,383
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,59,235,411
Guernsey Example,2,61,245,429
Guernsey Example,2,63,250,438
Guernsey Example,2,64,255,446
Guernsey Example,2,66,265,464
Guernsey Example,2,70,280,490
Guernsey Example,2,74,295,516
Guernsey Example,2,75,299,523
Guernsey Example,2,81,325,569
Guernsey Example,2,97,389,681
Guernsey Example,2,99,395,691
Guernsey Example,2,100,399,698
Guernsey Example,2,100,400,700
Guernsey Example,2,106,425,744
Guernsey Example,2,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,3,59,234,410
Guernsey Example,3,59,235,411
Guernsey Example,3,59,236,413
Guernsey Example,3,30,119,208
Guernsey Example,3,33,130,228
Guernsey Example,3,49,195,341
Guernsey Example,3,49,195,341
Guernsey Example,3,49,195,341
Guernsey Example,3,50,199,348
Guernsey Example,3,50,199,348
Guernsey Example,3,52,209,366
Guernsey Example,3,53,210,368
Guernsey Example,3,55,219,383
Guernsey Example,3,55,220,385
Guernsey Example,3,55,220,385
Guernsey Example,3,55,220,385
Guernsey Example,3,59,235,411
Guernsey Example,3,61,245,429
Guernsey Example,3,63,250,438
Guernsey Example,3,64,255,446
Guernsey Example,3,66,265,464
Guernsey Example,3,70,280,490
Guernsey Example,3,74,295,516
Guernsey Example,3,75,299,523
Guernsey Example,3,81,325,569
Guernsey Example,3,97,389,681
Guernsey Example,3,99,395,691
Guernsey Example,3,100,655,698
Guernsey Example,3,100,400,700
Guernsey Example,3,106,425,744
Guernsey Example,3,119,475,831
Guernsey (Livingroom),1,52,209,366
Guernsey (Livingroom),1,55,220,385
Guernsey (Livingroom),1,55,221,387
Guernsey (Livingroom),1,56,222,389
Guernsey (Livingroom),1,56,223,390
Guernsey (Livingroom),1,56,224,392
Guernsey (Livingroom),1,56,225,394
Guernsey (Livingroom),1,57,226,396
Guernsey (Livingroom),1,57,227,397
Guernsey (Livingroom),1,57,228,399
Guernsey (Livingroom),1,57,229,401
Guernsey (Livingroom),1,58,230,403
Guernsey (Livingroom),1,58,231,404
Guernsey (Livingroom),1,58,232,406
Guernsey (Livingroom),1,58,233,408
Guernsey (Livingroom),1,59,234,410
Guernsey (Livingroom),1,59,235,411
Guernsey (Livingroom),1,59,236,413
Guernsey (Swoffers),1,30,119,208
Guernsey (Swoffers),1,33,130,228
Guernsey (Swoffers),1,49,195,341
Guernsey (Swoffers),1,49,195,341
Guernsey (Swoffers),1,49,195,341
Guernsey (Swoffers),1,50,199,348
Guernsey (Swoffers),1,50,199,348
Guernsey (Swoffers),1,52,209,366
Guernsey (Swoffers),1,53,210,368
Guernsey (Swoffers),1,55,219,383
Guernsey (Swoffers),1,55,220,385
Guernsey (Swoffers),1,55,220,385
Guernsey (Swoffers),1,55,220,385
Guernsey (Swoffers),1,59,235,411
Guernsey (Swoffers),1,61,245,429
Guernsey (Swoffers),1,63,250,438
Guernsey (Swoffers),1,64,255,446
Guernsey (Swoffers),1,66,265,464
Guernsey (Swoffers),1,70,280,490
Guernsey (Swoffers),1,74,295,516
Guernsey (Swoffers),1,75,299,523
Guernsey (Swoffers),1,81,325,569
Guernsey (Swoffers),1,97,389,681
Guernsey (Swoffers),1,99,395,691
Guernsey (Swoffers),1,100,399,698
Guernsey (Swoffers),1,100,400,700
Guernsey (Swoffers),1,106,425,744
Guernsey (Swoffers),1,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,2,59,234,410
Guernsey Example,2,59,235,411
Guernsey Example,2,59,236,413
Guernsey Example,2,30,119,208
Guernsey Example,2,33,130,228
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,50,199,348
Guernsey Example,2,50,199,348
Guernsey Example,2,52,209,366
Guernsey Example,2,53,210,368
Guernsey Example,2,55,219,383
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,59,235,411
Guernsey Example,2,61,245,429
Guernsey Example,2,63,250,438
Guernsey Example,2,64,255,446
Guernsey Example,2,66,265,464
Guernsey Example,2,70,280,490
Guernsey Example,2,74,295,516
Guernsey Example,2,75,299,523
Guernsey Example,2,81,325,569
Guernsey Example,2,97,389,681
Guernsey Example,2,99,395,691
Guernsey Example,2,100,399,698
Guernsey Example,2,100,400,700
Guernsey Example,2,106,425,744
Guernsey Example,2,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,2,59,234,410
Guernsey Example,2,59,235,411
Guernsey Example,2,59,236,413
Guernsey Example,2,30,119,208
Guernsey Example,2,33,130,228
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,50,199,348
Guernsey Example,2,50,199,348
Guernsey Example,2,52,209,366
Guernsey Example,2,53,210,368
Guernsey Example,2,55,219,383
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,59,235,411
Guernsey Example,2,61,245,429
Guernsey Example,2,63,250,438
Guernsey Example,2,64,255,446
Guernsey Example,2,66,265,464
Guernsey Example,2,70,280,490
Guernsey Example,2,74,295,516
Guernsey Example,2,75,299,523
Guernsey Example,2,81,325,569
Guernsey Example,2,97,389,681
Guernsey Example,2,99,395,691
Guernsey Example,2,100,399,698
Guernsey Example,2,100,400,700
Guernsey Example,2,106,425,744
Guernsey Example,2,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,2,59,234,410
Guernsey Example,2,59,235,411
Guernsey Example,2,59,236,413
Guernsey Example,2,30,119,208
Guernsey Example,2,33,130,228
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,49,195,341
Guernsey Example,2,50,199,348
Guernsey Example,2,50,199,348
Guernsey Example,2,52,209,366
Guernsey Example,2,53,210,368
Guernsey Example,2,55,219,383
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,55,220,385
Guernsey Example,2,59,235,411
Guernsey Example,2,61,245,429
Guernsey Example,2,63,250,438
Guernsey Example,2,64,255,446
Guernsey Example,2,66,265,464
Guernsey Example,2,70,280,490
Guernsey Example,2,74,295,516
Guernsey Example,2,75,299,523
Guernsey Example,2,81,325,569
Guernsey Example,2,97,389,681
Guernsey Example,2,99,395,691
Guernsey Example,2,100,399,698
Guernsey Example,2,100,400,700
Guernsey Example,2,106,425,744
Guernsey Example,2,119,475,831
Guernsey Example,2,52,209,366
Guernsey Example,2,55,220,385
Guernsey Example,2,55,221,387
Guernsey Example,2,56,222,389
Guernsey Example,2,56,223,390
Guernsey Example,2,56,224,392
Guernsey Example,2,56,225,394
Guernsey Example,2,57,226,396
Guernsey Example,2,57,227,397
Guernsey Example,2,57,228,399
Guernsey Example,2,57,229,401
Guernsey Example,2,58,230,403
Guernsey Example,2,58,231,404
Guernsey Example,2,58,232,406
Guernsey Example,2,58,233,408
Guernsey Example,3,59,234,410
Guernsey Example,3,59,235,411
Guernsey Example,3,59,236,413
Guernsey Example,3,30,119,208
Guernsey Example,3,33,130,228
Guernsey Example,3,49,195,341
Guernsey Example,3,49,195,341
Guernsey Example,3,49,195,341
Guernsey Example,3,50,199,348
Guernsey Example,3,50,199,348
Guernsey Example,3,52,209,366
Guernsey Example,3,53,210,368
Guernsey Example,3,55,219,383
Guernsey Example,3,55,220,385
Guernsey Example,3,55,220,385
Guernsey Example,3,55,220,385
Guernsey Example,3,59,235,411
Guernsey Example,3,61,245,429
Guernsey Example,3,63,250,438
Guernsey Example,3,64,255,446
Guernsey Example,3,66,265,464
Guernsey Example,3,70,280,490
Guernsey Example,3,74,295,516
Guernsey Example,3,75,299,523
Guernsey Example,3,81,325,569
Guernsey Example,3,97,389,681
Guernsey Example,3,99,395,691
Guernsey Example,3,100,655,698
Guernsey Example,3,100,400,700
Guernsey Example,3,106,425,744
